text,sentiment,sentiment_category
the bus is coming,0.0,neutral
the tour bus is coming,0.0,neutral
the tour bus is coming into the town,0.0,neutral
the tour bus is coming into the town to pick up the people,0.0,neutral
the tour bus is coming into the town to pick up the people from the,0.0,neutral
the tour bus is coming into town to pick up the people from the,0.0,neutral
okay,0.5,positive
the dog chased the cat up the tree,0.0,neutral
the bird was caught by the worm,0.0,neutral
would you like to star in a movie,0.0,neutral
books like to read children,0.0,neutral
icecream tastes good in the summer,0.7,positive
beautiful flowers smell the lovely woman,0.675,positive
count to ten as fast as you can,0.1,positive
the man saw the boy that the dog chased,0.0,neutral
tell me the name of the person next door,0.0,neutral
how many are in a dozen,0.5,positive
the tiger was clawed by the lion,0.0,neutral
bad weather was caused by long airplane delays,-0.37499999999999994,negative
excellent,1.0,positive
when I was three years old,0.1,positive
I have a very vivid memory of being left with my sister and having,0.0625,positive
and it was the summer of nineteen forty six,0.0,neutral
and my sister and I was I were playing,0.0,neutral
and this young gal wanted me to go to have a nap in the,0.1,positive
and I was protesting,0.0,neutral
and I was so upset,0.0,neutral
I went into the bedroom waited a few minutes and snuck outof the,0.0,neutral
I did,0.0,neutral
well youknow youre Winnipeg was a smaller city,0.0,neutral
and it was different in nineteen forty six,0.0,neutral
and I knew the way,0.0,neutral
I being in the car the kids they pick it up fast,0.2,positive
so yes you asked for memory,0.0,neutral
there it is,0.0,neutral
okay yesterday I was at home in the morning,0.5,positive
because we were entertaining some people that were coming over,0.5,positive
we had some some of some of my children came,0.0,neutral
and with a couple of my grandchildren were two or,0.0,neutral
and then we had some guests that useta live in Winnipeg,0.13636363636363635,positive
so that was for part of the day til about two oclock,0.0,neutral
I then walked my grandson of two and a half years of age from,-0.16666666666666666,negative
I fear it was a good quite a walk for him,0.7,positive
and he did it all,0.0,neutral
and then I stayed a little at my sisters and my daughters,-0.1875,negative
and then from there I visited my one of my sons,0.0,neutral
and then we came home,0.0,neutral
and I basically I watched the,0.0,neutral
I took my wife to to zumba class at Baycrest village,0.0,neutral
and then we watched the Gray I watched the Graycomb,0.0,neutral
that was my day,0.0,neutral
yeah,0.0,neutral
in these pictures,0.0,neutral
well the first one is this kid kicks the ball,0.25,positive
and it looks like it breaks a window goes through the window,0.0,neutral
and then the man thats sitting there picks up the ball and is,0.0,neutral
one seems to have an umbrella,0.0,neutral
and shes looking to give it to her daughter,0.0,neutral
who the daughter takes it,0.0,neutral
unless she takes it,0.0,neutral
we cant tell that,0.0,neutral
starts to rain,0.0,neutral
doesnt look like the daughter takes it actually,0.0,neutral
well so up in paragraph three its raining,0.0,neutral
kids getting wet very wet,-0.1,negative
kid comes home looks like all wet,-0.1,negative
mothers not happy,0.8,positive
and then the kid takes the umbrella the the umbrella,0.0,neutral
well theres a man stuck in a tree,0.0,neutral
and the dog is barking,0.0,neutral
and the girls trying to get the cat off the tree,0.0,neutral
and shes got a little tricycle there,-0.1875,negative
and theres a ladder,0.0,neutral
but bod now on come the fireman I guess to help him,0.0,neutral
what do you want me to tell you,0.0,neutral
Cinderella a young girl who lived with an a,0.1,positive
and she did all the work around the house,0.0,neutral
she was treated very badly,-0.6999999999999998,negative
and life was pretty harsh for her,0.024999999999999994,positive
so one day an invitation comes sent by the royalty that theres,0.0,neutral
and ofcourse the prince is gonna be there,0.0,neutral
and and the the two sisters and the mother are very excited,0.375,positive
and they plan out how theyre what theyre gonna wear and,0.0,neutral
Cinderella wants to go but they make fun of her you see,0.3,positive
they say,0.0,neutral
what if she cant go to this,0.0,neutral
youre just a nothing,0.0,neutral
so they ultimately get all dressed up and go to the ball one,0.0,neutral
and Cinderellas left behind,-0.2,negative
and then along outof the blue comes this fairy godmother who,0.0,neutral
and she basically turns all her rags into wonderful clothes,1.0,positive
and he,0.0,neutral
and her both horses suddenly emerge,0.0,neutral
and shes whisked away to the ball,0.0,neutral
and shes given a warning that she that before she sets,0.0,neutral
she says youknow the fairy godmother tells her,0.0,neutral
you hafta be home by midnight or everythings gonna turn back to,0.0,neutral
loandbehold she goes to the ball,0.0,neutral
princess,0.0,neutral
but nothing woulda struck his fancy,0.0,neutral
but then he sees Cinderella,0.0,neutral
and after that its happiness for all of them,0.7,positive
theyre just having a great time,0.8,positive
then she suddenly realizes its close to midnight,0.0,neutral
and she rushes down the stairs leaves a slipper behind,-0.4,negative
and she gets into the chariot and heads home,0.0,neutral
but shes lost her shoe,0.0,neutral
and shes back to where she was,0.0,neutral
and xxx comes,0.0,neutral
there she is working away still,0.0,neutral
and then theres an announcement that the prince is trying to,0.0,neutral
and he still has the shoe,0.0,neutral
and he wants looks to wants to find the match,0.0,neutral
anyways he goes around from home to home in all the kingdom,0.0,neutral
and ofcourse it doesnt work,0.0,neutral
they ask if anybody else is there,0.0,neutral
and sure enough the they they they pretend shes not,0.25,positive
but ultimately she she gets a crack at it and tries it on,0.0,neutral
and its a perfect fit,0.7,positive
and well he she ends up happily with the prince,0.8,positive
there it is,0.0,neutral
my granddaughter of five could probably do it better,0.5,positive
sure,0.5,positive
the bus is coming,0.0,neutral
the tour bus is coming,0.0,neutral
the tour bus is coming into the town,0.0,neutral
the tour bus is coming into the town to pick up the people,0.0,neutral
the tour bus is coming into the town to pick up the people from the,0.0,neutral
the tour bus is coming into the town to pick up people from the,0.0,neutral
the fact that it doesnt make sense,0.0,neutral
not as easy to do I should tell you if it doesnt make sense,0.43333333333333335,positive
the dog chased the cat up the tree,0.0,neutral
the bird was caught by the worm,0.0,neutral
would you like to star in a movie,0.0,neutral
books like to read children,0.0,neutral
icecream tastes good in the summer,0.7,positive
beautiful flowers smell the lovely woman,0.675,positive
count to ten as fast as you can,0.1,positive
the man saw the boy that the dog chased,0.0,neutral
tell me the name of the person next door,0.0,neutral
how many are in a dozen,0.5,positive
the tiger was clawed by the lion,0.0,neutral
bad weather was caused by long airplane delays,-0.37499999999999994,negative
sounds like a ten minute interview,0.2,positive
I hafta think about the scenario for two minutes and then talk,0.0,neutral
it was important to me to get into law school,0.4,positive
that was something that happened that was very important,0.4,positive
I have no idea why I was accepted because I dont think I met any,0.0,neutral
thirty two,0.0,neutral
I was thirty two when I started,0.0,neutral
so I guess I was thirty one when I applied,0.0,neutral
and in my year the median age was twenty two,0.0,neutral
so I was one of the oldest in the class had nothing in common,-0.3,negative
Imean they still remembered highschool,0.0,neutral
who thought about highschool,0.0,neutral
and they all knew eachother from highschool,0.0,neutral
and they were there because they didnt get into medical school or,0.0,neutral
and I was just flummoxed,0.0,neutral
I was just sitting in this room listening to these people who came,0.0,neutral
they were just there because,0.0,neutral
well I guess it was the best thing that they could do under the,1.0,positive
and I was there because I just really cared,0.2,positive
and so I really didnt fit in really,0.26666666666666666,positive
it was at the end of the first year when I made my first real,0.2333333333333333,positive
up until then I was friendly with people but I didnt understand,0.375,positive
and it was very limited because we were told to get into study,-0.07142857142857142,negative
and I never spoke in class because I could never understand what,0.0,neutral
ke they asked questions for which the answers seemed obvious,0.0,neutral
why would anybody say the obvious,0.0,neutral
so people said the obvious,0.0,neutral
and they were rewarded,0.0,neutral
so those were the people sought after to be in the study groups,0.0,neutral
not me,0.0,neutral
so I did almost everything alone for the entire year,0.0,neutral
and when I asked to borrow one of my friends notes she said she,0.0,neutral
so I said,0.0,neutral
thanks but no thanks,0.2,positive
dont bother,0.0,neutral
and somewhere along the line I found a group that really didnt,0.2,positive
and just anybody who wanted to could be part of it,0.0,neutral
so that was me,0.0,neutral
so I was part of that group for some classes,0.0,neutral
at the end of the year in the subway station I met someone who,0.0,neutral
but we had been divided into two groups of fifty or seventy,0.0,neutral
and she was in the other group,0.0,neutral
so I never saw her,0.0,neutral
and in second year things improved a bit because then I think I,0.0,neutral
and that was good,0.7,positive
ke once I had a couple of friends to talk to and especially one,0.0,neutral
as an example of the incredible snobbiness of the school and the,0.9,positive
and he said,0.0,neutral
please when you write your exams dont think that your mark is,0.0,neutral
and I thought,0.0,neutral
wow it is so amazing to hear something like that,0.35000000000000003,positive
and I said that to someone in my class who completely disparaged,0.1,positive
it was in law school that I learned that competentq was a,0.0,neutral
oh hes a competent lawyer,0.5,positive
and that the positive term was brightq,0.22727272727272727,positive
if you werent bright you were nobody,0.7000000000000001,positive
so because he wasnt bright the students didnt respect him,0.7000000000000001,positive
and I made the mistake of saying to someone,0.0,neutral
youknow yeah okay but hes decent,0.3333333333333333,positive
ke hes a decent person,0.16666666666666666,positive
he has a heart,0.0,neutral
and she said,0.0,neutral
a heart,0.0,neutral
I didnt come to Oz where this one doesnt have a brain and this,0.0,neutral
I came to law school,0.0,neutral
didnt talk to her again,0.0,neutral
UofT,0.0,neutral
UofT was and continues to try to be the Harvard of Canada,0.0,neutral
I dont know why,0.0,neutral
and I also didnt understand that law schools had their own kind of,0.6,positive
but I didnt I didnt know that,0.0,neutral
I didnt even get it until after I left,0.0,neutral
so really it wasnt the right school for me,0.24285714285714285,positive
I really should have gone to York,0.2,positive
but when I came to Toronto people were saying,0.0,neutral
oh UofT,0.0,neutral
its the best school,1.0,positive
and why would you wanna be way out at York,0.0,neutral
youre in Toronto,0.0,neutral
you wanna be downtown,0.0,neutral
so I thought,0.0,neutral
okay I wanna be downtown,0.5,positive
so I was downtown,0.0,neutral
boy kicks the ball,0.0,neutral
flies into a glass window breaks the window and falls into the,0.8,positive
it knocks over the lamp,0.0,neutral
the man stands up holding the ball looking out the window to see,0.0,neutral
it looks like hes got his gun in the ck pocket,0.0,neutral
okay the mother tells the child to take an umbrella,0.5,positive
and the child doesnt want one,0.0,neutral
oh the but in this in the second one the,0.0,neutral
well oh oh oh oh oh I see,0.0,neutral
so the mother offers the child the umbrella,0.0,neutral
the child refuses,0.0,neutral
the child says,0.0,neutral
goodbye,0.0,neutral
goes outside,0.0,neutral
its raining,0.0,neutral
its really raining,0.2,positive
and the kid runs home soaking wet goes to the mother whos not,-0.1,negative
well whats happening is that firefighters are rushing,0.0,neutral
but it looks like what happened is that the little girls cat was,-0.1875,negative
the man climbed up the tree to save the cat,0.0,neutral
and then he got stuck,0.0,neutral
and then the firemen are coming to save the man,0.0,neutral
maybe the cat was chasing the bird,0.0,neutral
no I think the dog was chasing the cat,0.0,neutral
am I allowed to make it a xxx,0.0,neutral
the bane of feminists everywhere Cinderellas story about a,0.0,neutral
and I dont think we find out how she got to that situation but,0.0,neutral
and the stepmother and stepsisters basically treated her like a,0.0,neutral
she always she hadta do all the cleaning and all the cooking,0.0,neutral
and she didnt get to go shopping for new clothes,0.13636363636363635,positive
and she wasnt given the best food to eat,1.0,positive
and anyway she was just treated horribly,-1.0,negative
one day the stepmother and the two stepsisters get an,0.0,neutral
Cinderella thinking shes a member of the family thinks she can,0.0,neutral
but she cant,0.0,neutral
so she has to help the two stepsisters and stepmother get,0.0,neutral
and then they go,0.0,neutral
after they leave shes very disappointed because she really wanted,-0.275,negative
and somehow or another her fairy godmother appears and tells her,0.0,neutral
so she gives her a beautiful dress to wear lovely new shoes and,0.4954545454545454,positive
and the only rule is be back by twelve,0.0,neutral
so Cinderella went to the ball,0.0,neutral
she had a wonderful time,1.0,positive
nobody knew who she was,0.0,neutral
everybody was saying,0.0,neutral
oh whos that woman,0.0,neutral
whos that woman,0.0,neutral
the prince danced with her the whole evening,0.2,positive
she had a lovely time,0.5,positive
and then as the clock was striking twelve she realized she hadta,0.5,positive
so she ran out,0.0,neutral
in running out she lost one of her shoes which was a glass slipper,0.0,neutral
following that the prince found the missing slipper,-0.1,negative
and he wanted to find the woman who went with the slipper,0.0,neutral
so he traveled all over the kingdom trying the shoe on womens,0.0,neutral
it didnt fit anybody,0.4,positive
finally he made it to the home of the stepmother and two ugly,-0.35,negative
and he tried it on their feet,0.0,neutral
it didnt fit any of them,0.4,positive
and he saw Cinderella and said,0.0,neutral
why dont you try it,0.0,neutral
or possibly she said,0.0,neutral
why dont I try it,0.0,neutral
and he tried it on,0.0,neutral
and it fit,0.4,positive
and he was ecstatic because he had found the love of his life after,0.5,positive
and she of ofcourse being swept off her feet agreed,0.0,neutral
that shed just go back to slavery and doing dishes and laundry and,0.0,neutral
but the book doesnt take you that far,0.1,positive
it only takes you to the part where they meet and they fall in,0.0,neutral
ofcourse,0.0,neutral
the bus is coming,0.0,neutral
the tour bus is coming,0.0,neutral
the tour bus is coming into the town,0.0,neutral
the tour bus is coming into the town to pick up the people,0.0,neutral
the tour bus is coming into the town to pick up the people from the,0.0,neutral
the tour bus is coming into the town to pick up the people at the,0.0,neutral
the dog chased the cat up the tree,0.0,neutral
the bird was caught by the worm,0.0,neutral
would you like to star in a movie,0.0,neutral
books like to read children,0.0,neutral
icecream tastes good in the summer,0.7,positive
beautiful flowers smelled the lovely women,0.675,positive
count to ten as fast as you can,0.1,positive
the man saw the boy that the dog chased,0.0,neutral
tell me the name of the person next door,0.0,neutral
how many are in a dozen,0.5,positive
the tiger was clawed by the lion,0.0,neutral
bad weather was caused by long airplane delays,-0.37499999999999994,negative
know the answer,0.0,neutral
okay,0.5,positive
okay,0.5,positive
means well go with our marriage,-0.3125,negative
we didnt want to have a church ceremony,0.0,neutral
so we found the JP,0.0,neutral
this is in SanDiego California by the way,0.0,neutral
we found the JP but he was way the heck and gone east of,0.0,neutral
so we drove out to this little teensy tiny town called Boulevard,-0.09375,negative
and then a few months later we learned that there was actually,0.0,neutral
so but it was still interesting,0.5,positive
not too many people know where Boulevard is,0.5,positive
these days Im the cleaner of the house and washer of the,0.0,neutral
and Im also one of the players with the cats,0.0,neutral
so we do that,0.0,neutral
I watch way too much television,0.2,positive
spend alotof time on my computer,0.0,neutral
Im working on a project and reading books,0.0,neutral
and reading constantly reading books,0.0,neutral
alright okay,0.5,positive
so kid kicks a kicks the football through the window,0.0,neutral
right,0.2857142857142857,positive
so kids out in the field kicking the ball around by himself,0.0,neutral
and he accidentally we will assume kicks it through the,0.0,neutral
and man inside the,0.0,neutral
and knocks over a lamp breaking the window and and probably,0.0,neutral
and the guy stands up with the ball in his hand and looks out,0.0,neutral
and I guess hes going to get prepared to yell at the kid,0.0,neutral
kid goes off to school,0.0,neutral
mama says,0.0,neutral
take your umbrella,0.0,neutral
and kid says,0.0,neutral
nah,0.0,neutral
kids walking to school,0.0,neutral
gets rained on,0.0,neutral
he says,0.0,neutral
oops,0.0,neutral
so he turns around to go back,0.0,neutral
shes mad because she offered him,-0.625,negative
and but then she give him umbrella after all,0.0,neutral
and he goes to school somewhat wet but with an umbrella,-0.1,negative
did he learn,0.0,neutral
oh,0.0,neutral
the little girls pet cat managed to get up a tree and now cant,-0.1875,negative
but Ive had plenty of cats come down from trees,0.0,neutral
I dont know what thats all about,0.0,neutral
the cat mighta been after a bird singing in the tree,0.0,neutral
so a guy tried to help by climbing up the tree,0.0,neutral
the dogs barking at the guy,0.0,neutral
and someone had the presence of mind to call the fire department,0.0,neutral
so somebody musta called the police,0.0,neutral
youknow less than half of all fire calls are not for fires but,-0.16666666666666666,negative
its a xxx,0.0,neutral
well bearing in mind that what I know is only the n the,0.0,neutral
and not the xxx,0.0,neutral
yeah,0.0,neutral
so is is it better for me to just say what I think it is,0.5,positive
I guess thats the one,0.0,neutral
yeah thats the one with the three sisters and a problematic,0.0,neutral
and the sisters two of the sisters were all vain and uppity,0.0,neutral
youknow the one that made Cinderella do all the work in the house,0.0,neutral
and they got invited to a ball fancy ball,0.0,neutral
and so they spent a bunch of money getting ready for the ball,0.05,positive
and they went and left her behind,-0.2,negative
but I dont remember how she got how she got the magic,0.5,positive
who gave her the magic stuff,0.5,positive
yeah xxx,0.0,neutral
www,0.0,neutral
xxx,0.0,neutral
xxx,0.0,neutral
xxx invitation,0.0,neutral
oh the invitations for them,0.0,neutral
right,0.2857142857142857,positive
okay,0.5,positive
I dont remember any of this,0.0,neutral
how she got her dress,0.0,neutral
I imagine young girls would remember all of that part of,0.1,positive
so she somehow got her hands on a dress and ended up in the,0.0,neutral
and had she hadta leave at the stroke of midnight,0.0,neutral
so she wowedv everybody at the party and made her sisters,0.0,neutral
in fact I think they didnt even recognize who she was,0.0,neutral
and then when the clock started ringing she ran away eventhough,0.0,neutral
oh xxx,0.0,neutral
and she ran away and left behind the slipper because it fell off,-0.2,negative
a glass slipper xxx it was,0.0,neutral
and leaped into her carriage,0.0,neutral
and just as she got home it turned back into a pumpkin,0.0,neutral
and so the prince tried desperately to find the girl that he he,-0.6,negative
the the shoe was unusually small by the way,-0.25,negative
find me the person whose foot fits this,0.4,positive
and so he had his lackeys go all over the kingdom fitting it on,0.5,positive
and they finally found her,0.0,neutral
and he ends up marrying her,0.0,neutral
I cant remember what happens with the stepmother and the two girls,0.0,neutral
I think she doesnt treat them badly,-0.6999999999999998,negative
I think she treats them shockingly well,-1.0,negative
and she lives happily ever after,0.8,positive
does that sound,0.4,positive
oh right,0.2857142857142857,positive
okay,0.5,positive
okay,0.5,positive
the bus is coming,0.0,neutral
the tour bus is coming,0.0,neutral
the tour bus is coming into the town,0.0,neutral
the tour bus is coming into the town to pick up the people,0.0,neutral
the tour bus is coming into town to pick up the people from the,0.0,neutral
the tour bus is coming into the town to pick up the people from the,0.0,neutral
xxx to say that backwards,0.0,neutral
alright,0.0,neutral
the dog chased the cat up the tree,0.0,neutral
the bird was caught by the worm,0.0,neutral
would you like to star in a movie,0.0,neutral
books like to read children,0.0,neutral
icecream tastes good in the summer,0.7,positive
oh yeah,0.0,neutral
beautiful flowers smell the lovely woman,0.675,positive
come to ten as fast as you can,0.1,positive
the man saw the boy that the dog chased,0.0,neutral
tell me the name of the person next door,0.0,neutral
how many are in a dozen,0.5,positive
the tiger was clawed by the lion,0.0,neutral
bad weather was caused by long airplane delays,-0.37499999999999994,negative
well I guess one of the happier,0.0,neutral
and not on as a surprise to me it or a shock to me,0.0,neutral
and so meeting somebody,0.0,neutral
and getting married for the second time,0.125,positive
and then having a real buddy and a pal aswellas someone you love,0.35,positive
start it off with reading the newspaper at about,0.0,neutral
and I have different activities,0.0,neutral
Im Im pretty involved with curling,0.25,positive
and I curl two atleast two times a week in the mornings,0.0,neutral
and sometimes not so much anymore but it was at one time,0.2,positive
and thats one of the things that occupies alotof the time,0.0,neutral
Im also on the board of our condominium corporation,0.0,neutral
and Im treasurer of of that,0.0,neutral
so responsible for fucking no considerable amount of money,0.15000000000000002,positive
we have probably a million and a half to million and three quarters,-0.16666666666666666,negative
and I,0.0,neutral
board meetings are about once a month,0.0,neutral
but theres also activities that are weekly,0.0,neutral
and summertime we do a little bit of traveling,-0.1875,negative
a little winter a little bit of traveling in the wintertime,-0.1875,negative
and a little bit of golf in the summertime,-0.1875,negative
and that takes up most of my day,0.0,neutral
watching sports and television in in the evening particularly,0.16666666666666666,positive
the little boy is is playing with a soccer ball,-0.1875,negative
and and he kicks the soccer ball which goes through a plate,0.0,neutral
this is a little boy whos about to go to school,-0.1875,negative
and his mother hands him an umbrella because its probably,0.0,neutral
he doesnt want the umbrella,0.0,neutral
hes giving it back to his mother,0.0,neutral
he gets out,0.0,neutral
and he is discovers that it is raining and comes home,0.0,neutral
hes learned his lesson on this time,0.0,neutral
he goes and uses the umbrella to keep dry,-0.06666666666666665,negative
the kids have been out playing in the park,0.0,neutral
and a job,0.0,neutral
oh the boy went up into the tree to try and rescue the cat,0.0,neutral
doesnt look like the dog really chased the man up into the tree,0.2,positive
but hes barking at him,0.0,neutral
and to rescue the cat the firemen have come,0.0,neutral
and they are got brought their ladder,0.0,neutral
and theyre going to climb the tree and rescue the cat for the,0.0,neutral
well I obviously gonna use the book,0.0,neutral
sndu,0.0,neutral
Cinderella had a unpleasant aunt,-0.6499999999999999,negative
and Cinderella Cinderella met the handsome prince,0.5,positive
and the while she was doing all these unpleasant tasks,-0.6499999999999999,negative
there was a ball,0.0,neutral
and Cinderella got herself dressed in her finest dress to go to a,0.0,neutral
and at the ball she met a handsome prince and had a great time,0.65,positive
her stepmother or fairy godmother was very jealous,0.0,neutral
and and then Cinderella hadta return home at midnight,0.0,neutral
and came home,0.0,neutral
and very her,0.0,neutral
oh yeah,0.0,neutral
she had lost somewhere she lost her shoe at the dance,0.0,neutral
and the handsome prince came and found that the shoe fit Cinderella,0.45,positive
and they lived happily year after,0.8,positive
the bus is coming,0.0,neutral
the tour bus is coming,0.0,neutral
the tour bus is coming into the town,0.0,neutral
the tour bus is coming into the town to pick up the people,0.0,neutral
the tour bus is coming into the town to pick up the people from the,0.0,neutral
the tour bus is coming into the town to pick up the people from the,0.0,neutral
the dog chased the cat up the tree,0.0,neutral
the bird was caught by the worm,0.0,neutral
would you like to star in a movie,0.0,neutral
books like to read children,0.0,neutral
icecream tastes good in the summer,0.7,positive
sorry say that again,-0.5,negative
beautiful flowers smelled the the lovely woman,0.675,positive
count to ten as fast as you can,0.1,positive
the man saw the boy that the dog chased,0.0,neutral
tell me the name of the person next door,0.0,neutral
how many,0.5,positive
the tiger was clawed by the lion,0.0,neutral
bad weather was caused by airplane logging delays,-0.6999999999999998,negative
okay I was running to my class at the university to my finance,0.5,positive
next thing I knew I woke up looked at my wristwatch,0.0,neutral
it was still on,0.0,neutral
shockproof by the way,0.0,neutral
it said eight twenty,0.0,neutral
and the clock on the wall said five to nine,0.0,neutral
so I assumed something had happened,0.0,neutral
yes something had happened,0.0,neutral
I had two broken legs,-0.4,negative
and I was in the hospital emergency,0.0,neutral
I remained there for three and a half months and was able to,0.16666666666666669,positive
and walking down the hall I lost my balance on my crutches,0.0,neutral
and I put my bad leg down on the floor and broke it again,-0.6999999999999998,negative
and then they took me back to bed with a wheelchair,0.0,neutral
and I got into bed,0.0,neutral
and the nurse came in,0.0,neutral
and I said,0.0,neutral
am I going to the operating room,0.0,neutral
and she said,0.0,neutral
yes,0.0,neutral
and I went to the operating room was put in a body cast from under,0.0,neutral
and I had to remain in that for another eight weeks,0.0,neutral
and I finally got outof bed and learned to walk again ofcourse,0.0,neutral
because you cant walk when youre in bed for that long,-0.05,negative
I came outof the hospital,0.0,neutral
my accident was October twelfth,0.0,neutral
came outta the hospital March twenty ninth,0.0,neutral
and that night I went to university to write a test,0.0,neutral
so and then I hafta really learn to walk because I was,0.2,positive
and I learned to walk,0.0,neutral
and now I walk all over the city of Toronto and in MiamiBeach all,0.0,neutral
and while in the hospital they would bring ambulatory patients to,0.0,neutral
disregarding that exceptfor going for xrays I was in this room at,0.0,neutral
but I took the approach that theres nothing when you,0.0,neutral
move on,0.0,neutral
and make the best of the situation,1.0,positive
so the highlight of my day was watching Jeopardy,0.0,neutral
yeah,0.0,neutral
well you know theres nothing,0.0,neutral
Im not not to say,0.0,neutral
I I walk around,0.0,neutral
I have pain in my leg,0.0,neutral
but thats not gonna its gonna be there,0.0,neutral
so I cant ruin my life with it,0.0,neutral
I get up in the morning before seven go to the corner get the,0.0,neutral
the articles are short,0.0,neutral
but it tells you just as much as a major newspaper,0.0625,positive
and we have little talk,-0.1875,negative
and the superintendent comes,0.0,neutral
and a couple of other residents come,0.0,neutral
and we talk for a little while,-0.1875,negative
and then I go upstairs,0.0,neutral
and I do,0.0,neutral
after I flip through the paper I do the Sudoku and the,0.0,neutral
and I usually get the whole puzzle,-0.024999999999999994,negative
and then I will go and check the stock market on the internet,0.0,neutral
and depending on the day I usually meet somebody either for lunch,-0.25,negative
but it depends on the day,0.0,neutral
and I belong to an investment club,0.0,neutral
so I kindof look if theres anything I think they should know,0.0,neutral
since Im the accountant in the group that I should be explaining,0.0,neutral
and then if I went out for lunch I will have dinner at home,0.0,neutral
or I will go over to former neighbor who lives in a retirement home,0.0,neutral
and somebody gave her the crossword the jigsaw puzzle from,0.0,neutral
and shes not capable,0.2,positive
shes eighty seven,0.0,neutral
she cant do it,0.0,neutral
so I go over there,0.0,neutral
and my goal is to finish it before I leave for Florida in,0.0,neutral
so whenever I have a night that Im not doing anything Ill go,-0.5,negative
mhm,0.0,neutral
okay this boy is playing with his ball,0.5,positive
and he kicks it,0.0,neutral
and it goes through the window of somebodys house and lands in the,0.0,neutral
and the man finds the ball and then come is now looking out,0.0,neutral
okay,0.5,positive
little looks like a little girl going out and her mother,-0.1875,negative
so she doesnt take it,0.0,neutral
and ofcourse it starts raining,0.0,neutral
and then she runs back all wet,-0.05,negative
I think its a,0.0,neutral
now in some it looked like a little girl but I think its a little,-0.1875,negative
and runs back to get the umbrella,0.0,neutral
and then walks with the umbrella after getting all wet anyways,-0.1,negative
okay,0.5,positive
theres a cat caught in the tree,0.0,neutral
the dog is trying to get to the cats,0.0,neutral
looks like the father of the little girl is trying to get to the,-0.1875,negative
but he cant because the cats all the way out on a branch,0.0,neutral
but guess what,0.0,neutral
to the rescue come the firecommen,0.0,neutral
and they have a ladder,0.0,neutral
