text,intra_sentence_similarity
and and he kicks the soccer ball which goes through a plate,0.273664623
this is a little boy whos about to go to school,0.241916388
and his mother hands him an umbrella because its probably,0.329571605
he doesnt want the umbrella,0.259058177
hes giving it back to his mother,0.306547105
he gets out,0.448104501
and he is discovers that it is raining and comes home,0.324715853
hes learned his lesson on this time,0.287561774
he goes and uses the umbrella to keep dry,0.228012696
the kids have been out playing in the park,0.299921423
and a job,0.420525283
oh the boy went up into the tree to try and rescue the cat,0.208891809
doesnt look like the dog really chased the man up into the tree,0.24034971
but hes barking at him,0.277736157
and to rescue the cat the firemen have come,0.336687267
and they are got brought their ladder,0.338646472
and theyre going to climb the tree and rescue the cat for the,0.297492743
well I obviously gonna use the book,0.240936846
sndu,0
Cinderella had a unpleasant aunt,0.284191638
and Cinderella Cinderella met the handsome prince,0.327687353
and the while she was doing all these unpleasant tasks,0.331072837
there was a ball,0.377015293
and Cinderella got herself dressed in her finest dress to go to a,0.229701519
and at the ball she met a handsome prince and had a great time,0.27122438
her stepmother or fairy godmother was very jealous,0.332763612
and and then Cinderella hadta return home at midnight,0.333946288
and came home,0.450299621
and very her,0.498494267
oh yeah,0.846038759
she had lost somewhere she lost her shoe at the dance,0.277339518
and the handsome prince came and found that the shoe fit Cinderella,0.304375857
and they lived happily year after,0.329427689
the bus is coming,0.341236979
the tour bus is coming,0.307354391
the tour bus is coming into the town,0.292292655
the tour bus is coming into the town to pick up the people,0.253877163
the tour bus is coming into the town to pick up the people from the,0.273548394
the tour bus is coming into the town to pick up the people from the,0.273548394
the dog chased the cat up the tree,0.313502759
the bird was caught by the worm,0.299321711
would you like to star in a movie,0.278155863
books like to read children,0.395715892
icecream tastes good in the summer,0.302864581
sorry say that again,0.461479962
beautiful flowers smelled the the lovely woman,0.384550065
count to ten as fast as you can,0.285591513
the man saw the boy that the dog chased,0.311406016
tell me the name of the person next door,0.249622315
how many,0.64242667
the tiger was clawed by the lion,0.347063869
bad weather was caused by airplane logging delays,0.281996489
okay I was running to my class at the university to my finance,0.232741401
next thing I knew I woke up looked at my wristwatch,0.277478695
it was still on,0.392778873
shockproof by the way,0.349145383
it said eight twenty,0.366736561
and the clock on the wall said five to nine,0.293439656
so I assumed something had happened,0.429152131
yes something had happened,0.44462052
I had two broken legs,0.333865672
and I was in the hospital emergency,0.330973297
I remained there for three and a half months and was able to,0.281928062
and walking down the hall I lost my balance on my crutches,0.246296376
and I put my bad leg down on the floor and broke it again,0.232650101
and then they took me back to bed with a wheelchair,0.288879931
and I got into bed,0.289949983
and the nurse came in,0.373163581
and I said,0.329179674
am I going to the operating room,0.280593634
and she said,0.380783647
yes,0.999999881
and I went to the operating room was put in a body cast from under,0.230889231
and I had to remain in that for another eight weeks,0.310593158
and I finally got outof bed and learned to walk again ofcourse,0.259197563
because you cant walk when youre in bed for that long,0.246917337
I came outof the hospital,0.261318594
my accident was October twelfth,0.268613607
came outta the hospital March twenty ninth,0.228472456
and that night I went to university to write a test,0.287682205
so and then I hafta really learn to walk because I was,0.298013151
and I learned to walk,0.333281428
and now I walk all over the city of Toronto and in MiamiBeach all,0.291425586
and while in the hospital they would bring ambulatory patients to,0.390902936
disregarding that exceptfor going for xrays I was in this room at,0.247914389
but I took the approach that theres nothing when you,0.348213971
move on,0.529328585
and make the best of the situation,0.448052704
so the highlight of my day was watching Jeopardy,0.226739153
yeah,1
well you know theres nothing,0.440448403
Im not not to say,0.349026144
I I walk around,0.47569105
I have pain in my leg,0.282218307
but thats not gonna its gonna be there,0.260342896
so I cant ruin my life with it,0.291569859
I get up in the morning before seven go to the corner get the,0.271961093
the articles are short,0.419138938
but it tells you just as much as a major newspaper,0.292486846
and we have little talk,0.410473406
and the superintendent comes,0.493123412
and a couple of other residents come,0.370867759
and we talk for a little while,0.33144173
and then I go upstairs,0.359798074
and I do,0.384196401
after I flip through the paper I do the Sudoku and the,0.258072495
and I usually get the whole puzzle,0.327047378
and then I will go and check the stock market on the internet,0.302959234
and depending on the day I usually meet somebody either for lunch,0.296246648
but it depends on the day,0.337664783
and I belong to an investment club,0.258779019
so I kindof look if theres anything I think they should know,0.453988791
since Im the accountant in the group that I should be explaining,0.275985867
and then if I went out for lunch I will have dinner at home,0.264052898
or I will go over to former neighbor who lives in a retirement home,0.214377657
and somebody gave her the crossword the jigsaw puzzle from,0.272147
and shes not capable,0.333552659
shes eighty seven,0.346638858
she cant do it,0.402517438
so I go over there,0.395598024
and my goal is to finish it before I leave for Florida in,0.214271769
so whenever I have a night that Im not doing anything Ill go,0.30237776
mhm,0
okay this boy is playing with his ball,0.240206033
and he kicks it,0.334304392
and it goes through the window of somebodys house and lands in the,0.338995993
and the man finds the ball and then come is now looking out,0.307200491
okay,0.99999994
little looks like a little girl going out and her mother,0.376239121
so she doesnt take it,0.361922055
and ofcourse it starts raining,0.434066683
and then she runs back all wet,0.318081886
I think its a,0.343772829
now in some it looked like a little girl but I think its a little,0.341362923
and runs back to get the umbrella,0.301381439
and then walks with the umbrella after getting all wet anyways,0.308034152
okay,0.99999994
theres a cat caught in the tree,0.254624844
the dog is trying to get to the cats,0.300233901
looks like the father of the little girl is trying to get to the,0.297086209
but he cant because the cats all the way out on a branch,0.245627418
but guess what,0.660231113
to the rescue come the firecommen,0.450730562
and they have a ladder,0.380216986
and theyre going to obviously looks like theyll solve the,0.324696273
Cinderella lived in a house with her three stepsisters,0.295322686
and they treated her very mean,0.387662411
and she cleaned the house,0.393400967
and they just gave her orders and told her what to do,0.285491109
and they were all going to a ball,0.341269314
and she wanted to go to det ball,0.266817987
and her fairy godmother came and dressed her in a beautiful dress,0.316007078
and she went to the ball,0.319874614
and and then at the ball she was dancing with the prince,0.338581651
and she hadta be back by midnight,0.310597211
so she hadta run out,0.39613235
and when she ran out she lost her slipper,0.301869422
and the prince was so enamored with her that the next day he went,0.289807558
and he came to her house,0.355441302
and ofcourse her stepsisters said that she wasnt the one,0.283286989
but he did try it on,0.362680376
and it fit her,0.360415936
and they lived happily ever after,0.364328027
ofcourse,1.000000119
bus is coming,0.359419674
the tour bus is coming,0.307354391
the tour bus is coming into the town,0.292292655
the tour bus is coming into the town to pick people up,0.234841615
the tour bus is coming into the town to pick up the people in the,0.27023384
repeat,0.999999821
the tour bus is coming into the town to pick up the people from the,0.273548394
ohgod,0
okay,0.99999994
the dog chased the cat up the tree,0.313502759
the bird was caught by the worm,0.299321711
would you like to star in a movie,0.278155863
books like to read children,0.395715892
ice cream tastes good in summer,0.309349149
beautiful flowers smelled the lovely woman,0.414188743
count to ten as fast as you can,0.285591513
the man saw the boy that the dog chased,0.311406016
tell me the name of the person next door,0.249622315
how many are in a dozen,0.296016812
the tiger was clawed by the lion,0.347063869
bad weather was caused by long airplane delays,0.273301542
okay,0.99999994
okay,0.99999994
well one of the big one of the very important things,0.406380445
that was ke very positive experience,0.354395956
and I was a teenager at the time,0.276039183
and it was a significant change,0.38239032
it was quite a drastic change,0.393991441
and but it was interesting in the sense that it was,0.396428376
it was just a big a big change and a big transition,0.354656368
and it was youknow with all these expectations and and,0.36603862
learning youknow getting used to a whole new culture,0.310054392
not language because I spoke English where I came from,0.283210903
and but just getting used to whole new culture and,0.402196705
ke ke youknow we spoke differently from how we,0.220665544
and and so just getting used to everyone and the culture,0.426094413
it wasnt well one of the one of the things,0.320643127
we drive on the we drove on the left in the other in,0.311365038
its former BritishGuyana,0.593561053
and youknow just getting used to consumerism,0.335833222
that was one of the big shock youknow,0.271055013
we didnt we didnt spend money there like we we did here,0.392790437
ke my parents certainly didnt spend money and buy clothing and,0.230975837
and there was just money that was money thats so,0.349974751
right,0.999999821
it is just a dispensable commodity,0.436829031
and I guess its just like everything else today,0.373134375
especially in the last fifteen twenty years youknow,0.310329705
its like everything has become dispensable,0.374732494
youknow its like you buy a shirt,0.24343814
you wear it a few times,0.329542309
and then you can go get another one because its so inexpensive now,0.349655598
and but theres a premium on education,0.30782944
and thats where I invested my time,0.306593657
and I spent many years in education while while working,0.339210093
I just did it because I felt I could do it,0.514353991
and it was immensely challenging,0.412673116
but I struggled through it,0.436548412
and I was very successful,0.353516161
a typical day a workday,0.424981534
Ill describe a typical workday,0.350342661
Im up at five am,0.205423355
Im just I just got useta getting up really early,0.371626616
and I would have a cup of coffee,0.256900221
