text,Lexical_Density
I I went to I went to Overbrook hospital for about about a year ago over a year ago,52.63157894736842
trying these the cat the dog,50.0
anyway whattya,0.0
its a the,100.0
anyway I tried myself the books books,42.857142857142854
and I and I and I and I n I I was I was in the and I was at Overbrook Hospital,63.63636363636363
and I I went to I went to the the hospital,63.63636363636363
though I so I I went to at the at the the Overbrook hospital,71.42857142857143
I got the the two days of intensive the,55.55555555555556
Imean Im not sure about this but,37.5
weights and everything xxx,25.0
and and I tried,25.0
I I I I four five years ago I said I I I Ill be Ill be,58.82352941176471
Overbrook Hospital has the y a the weights and everything for weights and everything,42.857142857142854
so I went to now I went to I I went to,58.333333333333336
about four years ago I was at MontclairStateUniversity,37.5
and I was I was in the and and I was the at ldu,71.42857142857143
thats thats the best I can do really I guess,50.0
I went to I went to Tampa too trying this,50.0
no yeah thats about it I guess,50.0
it was four years ago,40.0
oh yeah sure,0.0
oh yeah,0.0
language,0.0
okay,0.0
well I was in the Navy,66.66666666666666
I was in the Navy,80.0
when I was a boy a young man I have the I have the at at at the,66.66666666666666
can I see a pen,60.0
thankyou,0.0
I forces,50.0
I,100.0
well anyway,0.0
I I I went I went to I went to the Navy for years,64.28571428571429
and I was oh I was I was in the Ol Cl Sl at Newport in Virginia Newport,55.55555555555556
and then then I was they I was the I was the I was the the a carrier for the the the the the Forrestal Forrestal three years,71.42857142857143
I like it,66.66666666666666
I like it here yeah,40.0
and so I went to and I I went to four years four years at the the the For Forrestal the the ship,52.17391304347826
and then I was a training officer for about about boy about,41.66666666666667
I was about about r forty one r,37.5
here,0.0
twenty one two three four five five five,0.0
I have this a problem with this,71.42857142857143
twenty year twenty nine years anyway I I was a reserve,36.36363636363637
so I was about about I was I was,77.77777777777779
now thats the problem I cant spell it,50.0
yeah thats right,25.0
I serve very good,25.0
I cant do,50.0
thats right,33.33333333333333
and it was a good it was good,62.5
good,0.0
yeah sure,0.0
yeah,0.0
okay,0.0
okay,0.0
well a a son has the ball,42.857142857142854
a kid or a boy was has the basketball or or or a hockey player anyway,31.25
and kicking and he was kicking the ball,37.5
and it was good it was good,57.14285714285714
anyway blku,0.0
he was he was he was he was knocking the door,81.81818181818183
and allofasudden boomo,0.0
his the house right in the house right in the house,54.54545454545454
and the light was the the the lamp was lost,60.0
and boomo,0.0
and then the he was he he and he says,60.0
hey boy was looking at the he was he was on he was the man was looking in the the what happened here,69.56521739130434
and it was good there it was good there but it look at it it was it,58.82352941176471
the the man was it was it was yes and no,63.63636363636363
is it was it was good but and bad,55.55555555555556
and allofasudden boomo,0.0
it was in the the at the,100.0
good,0.0
thats a problem,50.0
I cant do it here,50.0
window,0.0
thats right,33.33333333333333
thats right,33.33333333333333
thats right,33.33333333333333
sure,0.0
okay,0.0
well the the mother as far as as the mother was at the the the the oh a b umbrella,60.0
and the sin,33.33333333333333
and so he went to the he went to he went he went to the he was he was the the couldnt get,66.66666666666666
ohboy and he couldnt get home,28.57142857142857
not the umbrella boy,25.0
but,0.0
anyway it would its a it was,85.71428571428571
finally he went to the the door and and,44.44444444444444
and I couldnt I u I couldnt I u boy finally,46.15384615384615
so we went,33.33333333333333
Ill go into the school here,33.33333333333333
I,100.0
xxx,0.0
ohboy,0.0
oh yeah,0.0
well okay,0.0
I was I I I have a I have a I have a dog,71.42857142857143
and allofasudden I was fine,40.0
I was good,66.66666666666666
all the way down all the theres the cat on the o,69.23076923076923
oh I I was right at the right in the,70.0
oh the cat,33.33333333333333
but but,0.0
but it was okay,50.0
it was the the the the dog was was okay but his,75.0
the the the the dog was okay but but they couldnt,58.333333333333336
I a,100.0
oh it was not o good but I couldnt get it here,38.46153846153847
and allofasudden he would go he and and whats happened is he the,57.14285714285714
what do you call what do you call it,77.77777777777779
I dont I dont know what it,55.55555555555556
right here,0.0
and allofasudden he couldnt get l the the the the tree couldnt get this,50.0
I couldnt get here,40.0
so the dog was here,40.0
and that the the fireman is right here,50.0
because because here we go,60.0
because the man is here,60.0
what was it called,75.0
the,100.0
ohboy,0.0
theres a a a sparrow was a sparrow was looking in this,69.23076923076923
thats it,66.66666666666666
Im not xxx Im not good at this,40.0
yes,0.0
thats the problem with it,66.66666666666666
god damn it,33.33333333333333
well the the the the rain was terrible,62.5
absolutely terrible,0.0
and raining about maybe two or three days ago,11.11111111111111
allofasudden the the the the the the the river overflowing,70.0
and all a and fine but allofasudden the girl,33.33333333333333
the girl,50.0
and boy the tvu,25.0
and allofasudden boomo,0.0
the,100.0
I try I I I oh the river boomo,55.55555555555556
I I and the I was I was right there,70.0
I I I was I was I was terrible like this,90.9090909090909
and and have,0.0
allofasudden,0.0
and and luckily luckily the the the the police or the,45.45454545454545
and allofasudden boomo,0.0
and and,0.0
and boomo,0.0
I got the girl,50.0
and,0.0
,0.0
I dont know,50.0
I I do I do,80.0
oh sure,0.0
I dont know well see,33.33333333333333
oh,0.0
www,0.0
when I when when I was a boy,87.5
Cira Cinderella was was about about about ten years old or something like this,42.857142857142854
or Im not sure about the name but,33.33333333333333
and the the allofasudden a man the the mother died,50.0
and the man has one the man and the and and Ciner Cinderella was in he would go,38.88888888888889
and sudden the the the a a a a a a man a man a a a wife a wife the wife was two,45.83333333333333
and allofasudden he he the the man and woman has a married,41.66666666666667
and allofasudden that was it that was it boy,66.66666666666666
boy because Cinderella was is was good was friendly and nice and everything,46.15384615384615
but allofasudden the the two womens,33.33333333333333
and the and the wife was awful too,37.5
and so so I was my my my my my the the son the the man was died too,63.1578947368421
and that was that was it because boy I was I was terrible like this,80.0
and so I I was I was I I I I u I I couldnt get the I I go to the the shirt s,69.23076923076923
so so the allofasudden I have the Cinderella has the it was good at the the the it was good,60.0
the the the the the the the mouse two mouses,70.0
anyway alotof people,0.0
I I s,66.66666666666666
slu,0.0
it was good,66.66666666666666
but I I the the the woman and the and the two the daughter was absolutely awful,52.94117647058824
so and so so allofasudden the the the the the the prince prince and and the king,41.17647058823529
and allofasudden have,0.0
I lets go,33.33333333333333
I I I lets go,60.0
I I I got the the dress and the and dress and lets go to the snlu,47.05882352941176
and and lets go the at,33.33333333333333
and allofasudden the the mother was absolutely awful,37.5
and s and so I I I couldnt get it I couldnt get it I couldnt get it home,50.0
I couldnt get,50.0
I could I could the dress was awful and it was xxx,66.66666666666666
and I I so the the the the the the the the the the,85.71428571428571
allofasudden all I I try I I I try this I I I try this,73.33333333333333
and oh I was I was try,57.14285714285714
it was not a trying,60.0
I was I I I was,100.0
I I a not its try,66.66666666666666
isnt that that trying,60.0
anyway the oh the su,40.0
and allofasudden ke I I not a a a dress and look and,38.46153846153847
so and and the the the the,42.857142857142854
whattya,0.0
whattya,0.0
I dont know I dont know what they call it,58.333333333333336
but I the the not the the not not a the bus but the oh oh,50.0
I forgot,50.0
anyway the the the,75.0
see I I was I s,66.66666666666666
eight I,50.0
you see I I eight oclock the the mother and the and the two a daughter was here,50.0
I I I ball,75.0
the the the the,100.0
and I about about allofasudden I I I was about ten ten am,46.15384615384615
allofasudden a the the the prince was good,62.5
it was good,66.66666666666666
it was good,66.66666666666666
lklu,0.0
the the the and the princess,66.66666666666666
and allofasudden at,33.33333333333333
you hadta do he hadta do the Cinderella he,55.55555555555556
and allofasudden the Cinderella Cine was it was good but the the glass the glass,46.666666666666664
right there,0.0
Cinderella here,0.0
and and and so Cinderella Cinderella at at at twelve thirty thats it,35.714285714285715
I couldnt get I couldnt get but I couldnt get but my my my the the dress was nice but allofasudden not nice,46.15384615384615
the the the the hair,80.0
and and so the but the prince the prince I u I couldnt get him,43.75
it was awful,66.66666666666666
so every day finally the he have a slipper,44.44444444444444
so lets go,0.0
and allofasudden the the allofasudden the allofasudden the the prince says the the the prince oh the the the two girls was awful,52.17391304347826
www,0.0
and all so,0.0
couldnt xxx,33.33333333333333
and allofasudden the allofasudden Cinderella was,33.33333333333333
look at this,66.66666666666666
and oh and its look at this,42.857142857142854
here we go,33.33333333333333
look at it,66.66666666666666
and the the the the not the hat but the,60.0
whattya,0.0
not the,50.0
it was a the not the not the the the cat but,66.66666666666666
not a cat,33.33333333333333
rat but second one not,0.0
anyway,0.0
and allofasudden the the boy the,50.0
allofasudden the the the the cat not mean dog rat the rat not the rat but a,41.17647058823529
whattya,0.0
the second one here,25.0
anyway,0.0
the the the the oh the the rat was was okay,72.72727272727273
and allofasudden the the the Cinderella was the the the had,72.72727272727273
all allofasudden the the Cinderella was nice,57.14285714285714
and all a sudden the the he here we go,60.0
and a the the prince and and the the the prince and Cinderella was so so so together,38.88888888888889
and,0.0
they go,50.0
I dont know,50.0
Im sorry about it,60.0
but whattya,0.0
not a rat but,25.0
the mouse mouse,33.33333333333333
well yes but it has a problem,28.57142857142857
anyway,0.0
it has a problem,50.0
not the not the not the rye but the or xxx,36.36363636363637
the the oh whole wheat bread,33.33333333333333
I dont get it or I cant do it o probably,46.15384615384615
the the the whole wheat bread I like it here,50.0
so I I I like I I like whole bray,50.0
I I like the nt the toast,57.14285714285714
not as toast the not as toast but a toast but regular,16.666666666666664
whattya,0.0
anyway,0.0
so I I I not not I not a tiny bit,45.45454545454545
and about,0.0
and boomo okay I got the the whole wheat bread,30.0
and I went to the the the lla peanut butter,50.0
oh here,0.0
oh here we go,25.0
about here,50.0
and the the the a jelly,66.66666666666666
I have the I like the jelly grape jelly,44.44444444444444
depu,0.0
two two two of them,40.0
oh yeah woohoo,0.0
house,0.0
thats the problem her yeah,50.0
home,0.0
susu,0.0
octopus,0.0
chair,0.0
I dont know,50.0
but a table a a chair or a bench,44.44444444444444
oh ohboy boyohboy oh a,20.0
a boy,50.0
no,0.0
h lvay no,33.33333333333333
h l a vltdou,25.0
oh I,50.0
uhoh here we go,25.0
thats right,33.33333333333333
h a l l volcano,20.0
ohboy,0.0
a canoe,50.0
ohboy,0.0
say again please,0.0
a e beaver,33.33333333333333
beaver beaver,0.0
this is a,100.0
can I see it,75.0
go go xxx,0.0
cactus,0.0
see I I cant I I cant I can do one one I cant do it,57.89473684210527
but here kuu,0.0
raft,0.0
not a raft,33.33333333333333
a go ahead,33.33333333333333
hammock hammock,0.0
thats it,66.66666666666666
a,100.0
a ssskopu,50.0
oh,0.0
not not a horse but a,33.33333333333333
oh go ahead,0.0
unicorn,0.0
h unicorn,0.0
a go ahead,33.33333333333333
triangle,0.0
I I xxx triangle,50.0
no go ahead,0.0
xxx say again maybe,0.0
go ahead,0.0
oh the go ahead,25.0
xxx,0.0
what is it,100.0
what was it call what,80.0
go ahead,0.0
zfksu,0.0
,0.0
oh painting s,0.0
go ahead,0.0
palette palette,0.0
boy I tell you s,40.0
tripod,0.0
pretty good,0.0
its its pretty good,50.0
I I think I could,80.0
if I dont rush what Im trying to say I could get my words across pretty well,52.63157894736842
yes,0.0
ohgosh,0.0
I think it was the day after MothersDay,62.5
I I think thats when it was,75.0
I was,100.0
it was a a a Sunday night I think,66.66666666666666
and I dont remember anything at all,37.5
on the next day I was sposta babysit my great niece,45.45454545454545
my niece called her mother and said I wasnt there yet,33.33333333333333
what was youknow what what should she do,75.0
and her mother had said to call my son,33.33333333333333
so she called by his house,50.0
and she got my daughter inlaw who was I think home or getting ready for work or at work,36.84210526315789
I dont know,50.0
she said she didnt hear from me,62.5
and she said that she would get in touch with my son,58.333333333333336
my son she got called Peter and he told her to call the police station,40.0
now he had left the house already,42.857142857142854
he was on his way up New York state,55.55555555555556
he works for the government,60.0
I and he was working he was going up for a meeting,66.66666666666666
and he would see her on his while he was he would turn around and come home,58.82352941176471
she called the police station and she got the police to come to my house,40.0
she and the police got there at the same time,40.0
they hadta break the glass on the door in order to get in,46.15384615384615
they found me laying on the floor,57.14285714285714
so I imagine I had been out from the night before,72.72727272727273
they I I dont remember them being there,66.66666666666666
and I dont remember them calling the ambulance,44.44444444444444
and I dont remember going to the hospital,44.44444444444444
but they took me to the hospital,57.14285714285714
and I dont remember when I woke up but I woke up in the in the hospital,61.111111111111114
so it was I dont know sometime in the afternoon I guess that I woke up at the hospital,60.0
and thats where I was,66.66666666666666
well I I was at the hospital,71.42857142857143
and I I remember them taking me to on the wheelchair out to the r to the like an area in the in the hospital that was very nice,65.51724137931035
it was outside and it was,66.66666666666666
we were outside,66.66666666666666
it was nice and they we we spent alotof time over there,41.66666666666667
they I dont know how long I was in the hospital,66.66666666666666
from there I went to the Regent Care facility,44.44444444444444
was outof the hospital,50.0
it was Regent Care is a place where they had me go where I stayed to get my bearings where I was able to get my bearings,51.85185185185185
and I over there I I had I I had,50.0
I dont know what what else,57.14285714285714
I went to get,25.0
over there they they taught me to alotof things I guess,45.45454545454545
I dont remember everything they taught me,62.5
and I I hadta go to different stages I think of,45.45454545454545
geewhiz,0.0
I dont know where to what else,62.5
I I hadta do different things over there,25.0
and I I guess I did them all because they let me go,61.53846153846154
my son found out about this place and he enrolled me here,50.0
I I dont m remember,66.66666666666666
I I know I had in the Regent Care I I had they had me do alotof things but I dont remember what they were,53.84615384615385
something when I was a kid or recently,62.5
well I had I was raised by my mother father and sister and grandmother,35.714285714285715
my fathers mother,33.33333333333333
and she was Italian,50.0
she didnt speak any English so I learned to speak Italian,33.33333333333333
and she we we liked her very much,50.0
we lived together until she passed away,57.14285714285714
and that was in nineteen forty forty seven I guess,40.0
and then I I lived with I stayed with my my mother and father and sister,43.75
my mother and I were very close,42.857142857142854
my husband who I was going out with at the time knew my grandmother,64.28571428571429
and she useta tease him because he didnt speak Eng I Italian,46.15384615384615
and I she useta say call him something,50.0
I cant remember what it was now,62.5
and he useta laugh,25.0
and then I got married and I had my children,30.0
I cant remember anything else,50.0
I had,50.0
I dont remember what else you wanted to know,40.0
yes she she she did,60.0
she taught me quite a few things,57.14285714285714
I dont know if I remember everything now,55.55555555555556
but she she taught me alot,50.0
my my mother didnt speak any Italian but she understood my grandmother and my grandmother understood her,44.44444444444444
and she she spoke very highly of her of her,60.0
okay,0.0
its cute,50.0
it the firemen are it its,83.33333333333334
I have firemen in my family so I am familiar with,63.63636363636363
www,0.0
it looks like hes saving the girl,62.5
,0.0
I dont know why,60.0
but he doesnt seem to be a getting,44.44444444444444
yes,0.0
I dont know,50.0
www,0.0
Cinderella was a little girl who lived with her stepmother and s stepsisters,38.46153846153847
she was treated like a stepdaughter who hadta do the laundry and all the hard work in the house,52.63157894736842
and as she grew up she she one day she was a grownup,61.53846153846154
and she went she was asked,50.0
no she she wasnt asked,50.0
she heard about the girls going to a ball,55.55555555555556
she was excited for them but she knew she couldnt go,58.333333333333336
then she found the dress and she went to the ball,45.45454545454545
and she was excited about it,66.66666666666666
she had she she was excited,66.66666666666666
she went to the ball,60.0
and she went she went to the the ball,55.55555555555556
and she was all dressed up,50.0
and she went with the carriage,50.0
and she enjoyed herself,50.0
she danced and had a great time at the at the ball,50.0
but she hadta be home before midnight,28.57142857142857
and it was close to midnight and she was going home and shed lost a slipper,37.5
she went home and she she went home from the ball but she when she got home she was all dressed up in her old clothes again,48.148148148148145
and she the meantime the fella,50.0
so he got to the house,50.0
and he wanted to know if she if the slipper was hers,58.333333333333336
it wasnt it didnt belong to any of the other two girls,57.14285714285714
so he says he wanted her to try it,44.44444444444444
and it was her slipper,60.0
and he,50.0
and he it was she tried on the slipper,66.66666666666666
it was hers,100.0
and he was madly in love with her,62.5
and thats the end of the story,50.0
okay,0.0
peanut butter and jelly,0.0
youd get two slices of bread,28.57142857142857
youd put peanut butter on one slice and jelly on on the peanut butter,33.33333333333333
cover it with the other slice,50.0
and make a sandwich outof it,33.33333333333333
yes,0.0
oh,0.0
it isnt anything like my previous speech,62.5
but I was dumb,50.0
woke up dumb,33.33333333333333
so I didnt complain,40.0
and I go to school for speech,42.857142857142854
and I speak,33.33333333333333
and I a little bit a little bit a little bit a little bit,35.714285714285715
yes,0.0
no,0.0
because I was in and out of consciousness,75.0
nothing,100.0
I woke up when I was taken outof,62.5
well I was in the hospital,66.66666666666666
and its gunning alright,25.0
and,0.0
so I have nothing until I woke up in the middle of taking me to another hospital,64.70588235294117
no,0.0
but the hospital told me,40.0
the the hospital told me but I dont remember,50.0
oh I go to gym,40.0
and gym,0.0
well gym in the hospital where I was,62.5
and I was,66.66666666666666
well first inhouse and then out patient but not in the regular,16.666666666666664
I go to the school near the house,62.5
and I was,66.66666666666666
and then I was taken in in well this place,50.0
and I wanna get better so,33.33333333333333
oh well more recently I was,33.33333333333333
and I think thats sad,33.33333333333333
and now I get a new husband and I dont care,33.33333333333333
,0.0
and new new life,0.0
but I was sad for a long time,50.0
and I wanted divorce,25.0
but its sad,33.33333333333333
yes yes and most of the time its wonderful,33.33333333333333
but three or four years he was awful,25.0
and and go out with young girls,28.57142857142857
so,0.0
and married now and got a child,14.285714285714285
yes,0.0
yes,0.0
oh well makes up his mind what to do about it,45.45454545454545
www,0.0
okay,0.0
the child wants no umbrella,40.0
gives it back to,50.0
and bye,0.0
hes saying goodbye,50.0
and shes saying goodbye,40.0
and rain comes,0.0
and awful rain,0.0
and the mother is mad at the child because the childs wet and and and cold or something,38.88888888888889
and so,0.0
no,0.0
yes,0.0
www,0.0
the,100.0
and that cat is not going to go down,22.22222222222222
so the first,33.33333333333333
oh and the child looks at them and wonders,33.33333333333333
and,0.0
and and,0.0
and,0.0
and the hope is that,60.0
oh and,0.0
www,0.0
the child got caught in I dont know in the wandering wandering,53.84615384615385
and the and,33.33333333333333
and,0.0
yes,0.0
no,0.0
www,0.0
well,0.0
poor Cinderella,0.0
ugh,0.0
shes always working working working,33.33333333333333
and the other family members were cavorting,28.57142857142857
and then Cinderella found a fairy,16.666666666666664
and she gives her everything to go to the ball,50.0
including a horse and carriage,20.0
and she dances with a young man that is handsome and has money,38.46153846153847
and handsome man,0.0
and dancing with her all the time,57.14285714285714
noone else,0.0
and then the strikes the bell one or something,33.33333333333333
and Cinderella hasta go home because there is no more gown and,25.0
so Cinderella goes home,0.0
and handsome prince is all over the place finding her,40.0
and sure enough Cinderella fits the shoe,14.285714285714285
and her sisters didnt,20.0
,0.0
and so shes happy ever after,28.57142857142857
oh,0.0
oh well jelly,0.0
no,0.0
peanut butter and then jelly on sandwich,14.285714285714285
and then,0.0
thats all,66.66666666666666
fair,0.0
yes laughs,0.0
I have sometimes I I I Ive trouble the voice,54.54545454545454
and Im awoke a that way Im tu,50.0
yes,0.0
I woke up through the night,66.66666666666666
and I didnt know what was wrong,50.0
I was,100.0
and I woke up in the morning and I couldnt,54.54545454545454
and I went downstairs,25.0
and,0.0
so I called my my I was I called my boss,63.63636363636363
he was in another r he was in surgery,77.77777777777779
and he called to the house,50.0
and he called me,50.0
and he came to me,60.0
and I,50.0
but he he we are together for so long that he knew something was going on,62.5
I I stayed with HackensackHospital,60.0
and then I was discharged to a place where,55.55555555555556
I,100.0
I,100.0
and that girl up then we with this girl who was teaching me how to talk,56.25
and it was down in in tikksu,71.42857142857143
and then I was fair,40.0
and they they shipped me to another place in,66.66666666666666
its a place,66.66666666666666
and they they taught me to talking each and each,60.0
and to I was doing teach doing teacher to do just do exercises,30.76923076923077
a thats all I did,66.66666666666666
I Ill once down the front stair that that that,60.0
I fell down the,75.0
we had moved to the house we are now,66.66666666666666
and p this how two three four blocks away,22.22222222222222
this was a place that were open at tetu,66.66666666666666
and I didnt have any more make,37.5
so I was going down the front stairs,50.0
and the children were in bed,50.0
and my husband was still in bed,42.857142857142854
it was was like nine thirty,66.66666666666666
I said,50.0
and I fell down the front stairs,42.857142857142854
snow but with,33.33333333333333
and I laid there in the gun s,37.5
and it it worked okay,40.0
but I ofcourse I ended up having a hip that was,54.54545454545454
I I didnt know what was wrong but then I I figured it out,60.0
okay,0.0
this,100.0
and he did such a hick,50.0
and the father,33.33333333333333
it was n he he he he,85.71428571428571
he,100.0
and and,0.0
and hes hes putting and hes gonna see whos whos he broke his window,45.0
little boy is is is gonna go into,44.44444444444444
what do they call those,80.0
the kids that their care,60.0
and and to take and,0.0
he said,50.0
and he goes out in the car,57.14285714285714
and hes rain in the car s,37.5
and hes getting wet,40.0
so he went back to see his mother,25.0
he said he needs a r a r kwru,44.44444444444444
he was,100.0
he liked to wear a l a l,37.5
so he went home,25.0
and thats what he wore,50.0
,0.0
psu,0.0
and so meanwhile,0.0
and he got up in there and,28.57142857142857
so,0.0
my cat went to under cat my last night,44.44444444444444
I I say I said,60.0
I dont know whether its up or going down,40.0
and they wanna get outof the water,28.57142857142857
yes,0.0
its been a long time ago,66.66666666666666
so I can read it,60.0
www,0.0
this little boy,33.33333333333333
and this other he,50.0
and the mother found this other boy s,25.0
so there were three children in the house,37.5
and the girls were treated to be seen in a house,45.45454545454545
they were treated as a gldu,66.66666666666666
she was she was like,100.0
